Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,7450,3696,998,51667.183594,0.019316
2,1000,0.5,0.2,50.0,1000,23744,8915,165,49910.445312,0.003306
3,1000,0.5,0.2,50.0,1000,22655,8526,236,50172.531250,0.004704
4,1000,0.5,0.2,50.0,1000,9105,4226,936,49514.304688,0.018904
5,1000,0.5,0.2,50.0,1000,12196,5188,778,49673.468750,0.015662
6,1000,0.5,0.2,50.0,1000,22941,8665,281,51666.042969,0.005439
7,1000,0.5,0.2,50.0,1000,8121,4059,997,50553.402344,0.019722
8,1000,0.5,0.2,50.0,1000,18799,7267,425,48382.359375,0.008784
9,1000,0.5,0.2,50.0,1000,7207,3573,996,50716.156250,0.019639
10,1000,0.5,0.2,50.0,1000,7047,3503,998,50934.570312,0.019594
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,55800,6293,627,50368.800781,0.012448
2,1000,0.5,0.2,50.0,1000,112088,8716,134,49029.882812,0.002733
3,1000,0.5,0.2,50.0,1000,103781,8688,244,50834.300781,0.004800
4,1000,0.5,0.2,50.0,1000,19212,4142,899,49077.402344,0.018318
5,1000,0.5,0.2,50.0,1000,32958,5002,803,49724.398438,0.016149
6,1000,0.5,0.2,50.0,1000,53591,6404,665,51874.226562,0.012819
7,1000,0.5,0.2,50.0,1000,72612,6998,481,49353.406250,0.009746
8,1000,0.5,0.2,50.0,1000,78566,7505,450,49689.125000,0.009056
9,1000,0.5,0.2,50.0,1000,111244,8710,160,48969.843750,0.003267
10,1000,0.5,0.2,50.0,1000,23728,4587,877,50964.156250,0.017208
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,93408,6139,638,49541.816406,0.012878
2,1000,0.5,0.2,50.0,1000,214429,8784,180,49424.179688,0.003642
3,1000,0.5,0.2,50.0,1000,193792,8670,279,50838.722656,0.005488
4,1000,0.5,0.2,50.0,1000,24451,4144,899,49087.730469,0.018314
5,1000,0.5,0.2,50.0,1000,54094,5114,807,50357.628906,0.016025
6,1000,0.5,0.2,50.0,1000,86115,6167,675,50600.117188,0.013340
7,1000,0.5,0.2,50.0,1000,132900,7027,506,49512.492188,0.010220
8,1000,0.5,0.2,50.0,1000,140392,7432,474,49208.695312,0.009632
9,1000,0.5,0.2,50.0,1000,212743,8805,196,49374.480469,0.003970
10,1000,0.5,0.2,50.0,1000,30336,4542,876,50709.546875,0.017275
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,161885,6370,643,50818.285156,0.012653
2,1000,0.5,0.2,50.0,1000,387500,8573,180,48239.238281,0.003731
3,1000,0.5,0.2,50.0,1000,344783,8499,276,49893.992188,0.005532
4,1000,0.5,0.2,50.0,1000,24836,4161,899,49187.140625,0.018277
5,1000,0.5,0.2,50.0,1000,65812,5073,807,50113.109375,0.016104
6,1000,0.5,0.2,50.0,1000,135486,6150,674,50508.433594,0.013344
7,1000,0.5,0.2,50.0,1000,227374,6899,503,48874.605469,0.010292
8,1000,0.5,0.2,50.0,1000,242881,7384,474,48916.988281,0.009690
9,1000,0.5,0.2,50.0,1000,387556,8774,196,49201.589844,0.003984
10,1000,0.5,0.2,50.0,1000,30455,4524,875,50590.652344,0.017296
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,193535,6345,642,50671.351562,0.012670
2,1000,0.5,0.2,50.0,1000,792998,8874,183,49927.437500,0.003665
3,1000,0.5,0.2,50.0,1000,629623,8406,275,49408.894531,0.005566
4,1000,0.5,0.2,50.0,1000,24836,4161,899,49187.140625,0.018277
5,1000,0.5,0.2,50.0,1000,65812,5073,807,50113.109375,0.016104
6,1000,0.5,0.2,50.0,1000,159264,6166,675,50597.382812,0.013341
7,1000,0.5,0.2,50.0,1000,358377,7057,506,49677.910156,0.010186
8,1000,0.5,0.2,50.0,1000,394761,7512,474,49646.425781,0.009548
9,1000,0.5,0.2,50.0,1000,738948,8790,196,49287.628906,0.003977
10,1000,0.5,0.2,50.0,1000,30455,4524,875,50590.652344,0.017296
