Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2878,2625,998,48466.832031,0.020591
2,1000,0.1,0.2,50.0,1000,2899,2604,998,49649.496094,0.020101
3,1000,0.1,0.2,50.0,1000,2901,2627,998,49480.265625,0.020170
4,1000,0.1,0.2,50.0,1000,2847,2561,997,50045.871094,0.019922
5,1000,0.1,0.2,50.0,1000,2796,2519,997,49636.613281,0.020086
6,1000,0.1,0.2,50.0,1000,2880,2603,998,48546.695312,0.020558
7,1000,0.1,0.2,50.0,1000,2915,2627,998,50378.339844,0.019810
8,1000,0.1,0.2,50.0,1000,2864,2590,998,49473.957031,0.020172
9,1000,0.1,0.2,50.0,1000,2856,2570,997,51642.570312,0.019306
10,1000,0.1,0.2,50.0,1000,2840,2543,998,51001.632812,0.019568
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3323,2611,995,47743.148438,0.020841
2,1000,0.2,0.2,50.0,1000,3325,2672,997,48594.960938,0.020517
3,1000,0.2,0.2,50.0,1000,68728,6391,485,48900.589844,0.009918
4,1000,0.2,0.2,50.0,1000,3220,2591,998,49482.773438,0.020169
5,1000,0.2,0.2,50.0,1000,3514,2821,998,48546.585938,0.020558
6,1000,0.2,0.2,50.0,1000,3257,2628,997,50580.273438,0.019711
7,1000,0.2,0.2,50.0,1000,3560,2810,998,51924.906250,0.019220
8,1000,0.2,0.2,50.0,1000,3325,2660,998,49597.656250,0.020122
9,1000,0.2,0.2,50.0,1000,3362,2636,997,49436.296875,0.020167
10,1000,0.2,0.2,50.0,1000,3302,2639,998,48081.519531,0.020756
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4701,2823,998,50527.941406,0.019751
2,1000,0.4,0.2,50.0,1000,17538,3957,906,50987.382812,0.017769
3,1000,0.4,0.2,50.0,1000,63932,6264,548,48969.687500,0.011191
4,1000,0.4,0.2,50.0,1000,5092,3064,998,48980.031250,0.020376
5,1000,0.4,0.2,50.0,1000,4709,2904,998,49519.558594,0.020154
6,1000,0.4,0.2,50.0,1000,4831,2899,998,51767.613281,0.019278
7,1000,0.4,0.2,50.0,1000,5013,3009,997,48719.699219,0.020464
8,1000,0.4,0.2,50.0,1000,5261,3177,997,52243.492188,0.019084
9,1000,0.4,0.2,50.0,1000,4782,2836,998,49958.261719,0.019977
10,1000,0.4,0.2,50.0,1000,4896,2976,995,50528.800781,0.019692
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,91331,8343,357,51124.007812,0.006983
2,1000,0.6,0.2,50.0,1000,116092,8992,133,49588.996094,0.002682
3,1000,0.6,0.2,50.0,1000,111565,9097,209,51834.636719,0.004032
4,1000,0.6,0.2,50.0,1000,115464,8921,141,49816.296875,0.002830
5,1000,0.6,0.2,50.0,1000,113874,9067,188,51452.042969,0.003654
6,1000,0.6,0.2,50.0,1000,82622,7855,421,50023.980469,0.008416
7,1000,0.6,0.2,50.0,1000,109830,8752,164,48825.289062,0.003359
8,1000,0.6,0.2,50.0,1000,118066,9059,150,50874.695312,0.002948
9,1000,0.6,0.2,50.0,1000,100562,8594,305,51717.207031,0.005897
10,1000,0.6,0.2,50.0,1000,105857,8486,200,48991.691406,0.004082
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,118440,9003,133,50615.445312,0.002628
2,1000,0.8,0.2,50.0,1000,116634,8843,140,49386.847656,0.002835
3,1000,0.8,0.2,50.0,1000,114971,8749,131,48710.671875,0.002689
4,1000,0.8,0.2,50.0,1000,120397,9156,134,51313.343750,0.002611
5,1000,0.8,0.2,50.0,1000,117751,8943,125,50217.761719,0.002489
6,1000,0.8,0.2,50.0,1000,122104,9265,140,51910.074219,0.002697
7,1000,0.8,0.2,50.0,1000,116640,8862,145,50014.625000,0.002899
8,1000,0.8,0.2,50.0,1000,111834,8554,147,48033.714844,0.003060
9,1000,0.8,0.2,50.0,1000,117088,9156,183,51527.925781,0.003551
10,1000,0.8,0.2,50.0,1000,117416,8952,142,50197.984375,0.002829
