Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2878,2625,998,48466.832031,0.020591
2,1000,0.1,0.2,50.0,1000,2899,2604,998,49649.496094,0.020101
3,1000,0.1,0.2,50.0,1000,2901,2627,998,49480.265625,0.020170
4,1000,0.1,0.2,50.0,1000,2847,2561,997,50045.871094,0.019922
5,1000,0.1,0.2,50.0,1000,2796,2519,997,49636.613281,0.020086
6,1000,0.1,0.2,50.0,1000,2880,2603,998,48546.695312,0.020558
7,1000,0.1,0.2,50.0,1000,2915,2627,998,50378.339844,0.019810
8,1000,0.1,0.2,50.0,1000,2864,2590,998,49473.957031,0.020172
9,1000,0.1,0.2,50.0,1000,2856,2570,997,51642.570312,0.019306
10,1000,0.1,0.2,50.0,1000,2840,2543,998,51001.632812,0.019568
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3323,2611,995,47743.148438,0.020841
2,1000,0.2,0.2,50.0,1000,3325,2672,997,48594.960938,0.020517
3,1000,0.2,0.2,50.0,1000,16067,6520,453,49382.980469,0.009173
4,1000,0.2,0.2,50.0,1000,3220,2591,998,49482.773438,0.020169
5,1000,0.2,0.2,50.0,1000,3514,2821,998,48546.585938,0.020558
6,1000,0.2,0.2,50.0,1000,3257,2628,997,50580.273438,0.019711
7,1000,0.2,0.2,50.0,1000,3560,2810,998,51924.906250,0.019220
8,1000,0.2,0.2,50.0,1000,3325,2660,998,49597.656250,0.020122
9,1000,0.2,0.2,50.0,1000,3362,2636,997,49436.296875,0.020167
10,1000,0.2,0.2,50.0,1000,3302,2639,998,48081.519531,0.020756
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4701,2823,998,50527.941406,0.019751
2,1000,0.4,0.2,50.0,1000,7992,3966,894,50910.609375,0.017560
3,1000,0.4,0.2,50.0,1000,15559,6319,537,49069.835938,0.010944
4,1000,0.4,0.2,50.0,1000,5126,3087,994,49118.441406,0.020237
5,1000,0.4,0.2,50.0,1000,4709,2904,998,49519.558594,0.020154
6,1000,0.4,0.2,50.0,1000,4831,2899,998,51767.613281,0.019278
7,1000,0.4,0.2,50.0,1000,5013,3009,997,48719.699219,0.020464
8,1000,0.4,0.2,50.0,1000,5261,3177,997,52243.492188,0.019084
9,1000,0.4,0.2,50.0,1000,4782,2836,998,49958.261719,0.019977
10,1000,0.4,0.2,50.0,1000,4896,2976,995,50528.800781,0.019692
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,18441,7344,949,48297.437500,0.019649
2,1000,0.6,0.2,50.0,1000,19021,7487,993,50373.832031,0.019713
3,1000,0.6,0.2,50.0,1000,18569,7359,988,52088.300781,0.018968
4,1000,0.6,0.2,50.0,1000,21137,8368,866,47741.757812,0.018139
5,1000,0.6,0.2,50.0,1000,22052,8697,791,50038.593750,0.015808
6,1000,0.6,0.2,50.0,1000,21204,8402,936,49416.054688,0.018941
7,1000,0.6,0.2,50.0,1000,21873,8610,964,50268.246094,0.019177
8,1000,0.6,0.2,50.0,1000,16673,6599,978,50277.703125,0.019452
9,1000,0.6,0.2,50.0,1000,17821,7107,961,48484.613281,0.019821
10,1000,0.6,0.2,50.0,1000,15863,6362,973,50987.261719,0.019083
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,23104,4676,439,48932.226562,0.008972
2,1000,0.8,0.2,50.0,1000,23795,4804,463,50078.601562,0.009245
3,1000,0.8,0.2,50.0,1000,24160,4737,446,50844.523438,0.008772
4,1000,0.8,0.2,50.0,1000,24450,4963,462,51832.058594,0.008913
5,1000,0.8,0.2,50.0,1000,23670,4751,439,49754.386719,0.008823
6,1000,0.8,0.2,50.0,1000,23997,4859,430,50827.789062,0.008460
7,1000,0.8,0.2,50.0,1000,23374,4675,449,49535.054688,0.009064
8,1000,0.8,0.2,50.0,1000,23415,4751,456,49601.929688,0.009193
9,1000,0.8,0.2,50.0,1000,23512,4750,445,49942.136719,0.008910
10,1000,0.8,0.2,50.0,1000,23887,4705,458,50323.230469,0.009101
