Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6595,3268,998,50593.878906,0.019726
2,1000,0.5,0.2,50.0,1000,6523,3239,999,49756.921875,0.020078
3,1000,0.5,0.2,50.0,1000,6548,3236,999,50615.109375,0.019737
4,1000,0.5,0.2,50.0,1000,6013,3044,998,50862.562500,0.019622
5,1000,0.5,0.2,50.0,1000,6503,3261,998,49157.542969,0.020302
6,1000,0.5,0.2,50.0,1000,6239,3174,998,51541.355469,0.019363
7,1000,0.5,0.2,50.0,1000,6683,3347,999,49398.757812,0.020223
8,1000,0.5,0.2,50.0,1000,6166,3128,999,50032.710938,0.019967
9,1000,0.5,0.2,50.0,1000,6535,3228,998,49834.171875,0.020026
10,1000,0.5,0.2,50.0,1000,6433,3157,998,50001.234375,0.019960
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6436,3176,999,49913.953125,0.020014
2,1000,0.5,0.2,50.0,1000,6440,3149,999,50518.902344,0.019775
3,1000,0.5,0.2,50.0,1000,6607,3290,999,50694.058594,0.019706
4,1000,0.5,0.2,50.0,1000,5976,3023,997,50910.613281,0.019583
5,1000,0.5,0.2,50.0,1000,6429,3181,998,49089.093750,0.020330
6,1000,0.5,0.2,50.0,1000,6228,3179,998,52200.917969,0.019118
7,1000,0.5,0.2,50.0,1000,6695,3311,999,49043.648438,0.020370
8,1000,0.5,0.2,50.0,1000,6198,3142,997,50246.425781,0.019842
9,1000,0.5,0.2,50.0,1000,6564,3236,999,49466.015625,0.020196
10,1000,0.5,0.2,50.0,1000,6388,3134,994,50499.445312,0.019683
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6017,3027,999,50537.335938,0.019768
2,1000,0.5,0.2,50.0,1000,6396,3137,996,50224.746094,0.019831
3,1000,0.5,0.2,50.0,1000,6396,3139,996,49006.437500,0.020324
4,1000,0.5,0.2,50.0,1000,5743,2900,998,50777.085938,0.019655
5,1000,0.5,0.2,50.0,1000,6501,3263,999,49447.257812,0.020203
6,1000,0.5,0.2,50.0,1000,5979,3043,997,50280.667969,0.019829
7,1000,0.5,0.2,50.0,1000,6482,3193,999,49455.703125,0.020200
8,1000,0.5,0.2,50.0,1000,5922,3000,999,48370.398438,0.020653
9,1000,0.5,0.2,50.0,1000,6284,3104,998,49939.378906,0.019984
10,1000,0.5,0.2,50.0,1000,6385,3182,999,49906.035156,0.020018
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6017,3027,999,50537.335938,0.019768
2,1000,0.5,0.2,50.0,1000,6396,3137,996,50224.746094,0.019831
3,1000,0.5,0.2,50.0,1000,6396,3139,996,49006.437500,0.020324
4,1000,0.5,0.2,50.0,1000,5743,2900,998,50777.085938,0.019655
5,1000,0.5,0.2,50.0,1000,6501,3263,999,49447.257812,0.020203
6,1000,0.5,0.2,50.0,1000,5979,3043,997,50280.667969,0.019829
7,1000,0.5,0.2,50.0,1000,6482,3193,999,49455.703125,0.020200
8,1000,0.5,0.2,50.0,1000,5922,3000,999,48370.398438,0.020653
9,1000,0.5,0.2,50.0,1000,6284,3104,998,49939.378906,0.019984
10,1000,0.5,0.2,50.0,1000,6385,3182,999,49906.035156,0.020018
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,6017,3027,999,50537.335938,0.019768
2,1000,0.5,0.2,50.0,1000,6396,3137,996,50224.746094,0.019831
3,1000,0.5,0.2,50.0,1000,6396,3139,996,49006.437500,0.020324
4,1000,0.5,0.2,50.0,1000,5743,2900,998,50777.085938,0.019655
5,1000,0.5,0.2,50.0,1000,6501,3263,999,49447.257812,0.020203
6,1000,0.5,0.2,50.0,1000,5979,3043,997,50280.667969,0.019829
7,1000,0.5,0.2,50.0,1000,6482,3193,999,49455.703125,0.020200
8,1000,0.5,0.2,50.0,1000,5922,3000,999,48370.398438,0.020653
9,1000,0.5,0.2,50.0,1000,6284,3104,998,49939.378906,0.019984
10,1000,0.5,0.2,50.0,1000,6385,3182,999,49906.035156,0.020018
