Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2494,1998,999,50556.597656,0.019760
2,1000,0.2,0.2,50.0,1000,2496,1977,999,50474.695312,0.019792
3,1000,0.2,0.2,50.0,1000,2499,1974,999,50768.988281,0.019677
4,1000,0.2,0.2,50.0,1000,2465,1949,999,48526.066406,0.020587
5,1000,0.2,0.2,50.0,1000,2405,1940,999,48858.250000,0.020447
6,1000,0.2,0.2,50.0,1000,2510,2005,999,50404.132812,0.019820
7,1000,0.2,0.2,50.0,1000,2623,2060,999,49307.589844,0.020261
8,1000,0.2,0.2,50.0,1000,2406,1931,999,50995.136719,0.019590
9,1000,0.2,0.2,50.0,1000,2582,2045,999,50083.828125,0.019947
10,1000,0.2,0.2,50.0,1000,2475,1985,998,49495.953125,0.020163
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2494,1998,999,50556.597656,0.019760
2,1000,0.2,0.2,50.0,1000,2496,1977,999,50474.695312,0.019792
3,1000,0.2,0.2,50.0,1000,2499,1974,999,50768.988281,0.019677
4,1000,0.2,0.2,50.0,1000,2465,1949,999,48526.066406,0.020587
5,1000,0.2,0.2,50.0,1000,2405,1940,999,48858.250000,0.020447
6,1000,0.2,0.2,50.0,1000,2510,2005,999,50404.132812,0.019820
7,1000,0.2,0.2,50.0,1000,2623,2060,999,49307.589844,0.020261
8,1000,0.2,0.2,50.0,1000,2406,1931,999,50995.136719,0.019590
9,1000,0.2,0.2,50.0,1000,2582,2045,999,50083.828125,0.019947
10,1000,0.2,0.2,50.0,1000,2475,1985,998,49495.953125,0.020163
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2415,1929,999,48101.140625,0.020769
2,1000,0.2,0.2,50.0,1000,2431,1947,997,49375.191406,0.020192
3,1000,0.2,0.2,50.0,1000,2510,1992,999,49246.585938,0.020286
4,1000,0.2,0.2,50.0,1000,2488,1998,999,50266.839844,0.019874
5,1000,0.2,0.2,50.0,1000,2392,1924,999,50082.542969,0.019947
6,1000,0.2,0.2,50.0,1000,2483,1974,998,51717.273438,0.019297
7,1000,0.2,0.2,50.0,1000,2507,1999,999,49408.527344,0.020219
8,1000,0.2,0.2,50.0,1000,2372,1911,999,51780.468750,0.019293
9,1000,0.2,0.2,50.0,1000,2569,2000,999,50058.011719,0.019957
10,1000,0.2,0.2,50.0,1000,2428,1918,999,50202.390625,0.019899
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2415,1929,999,48101.140625,0.020769
2,1000,0.2,0.2,50.0,1000,2431,1947,997,49375.191406,0.020192
3,1000,0.2,0.2,50.0,1000,2510,1992,999,49246.585938,0.020286
4,1000,0.2,0.2,50.0,1000,2488,1998,999,50266.839844,0.019874
5,1000,0.2,0.2,50.0,1000,2392,1924,999,50082.542969,0.019947
6,1000,0.2,0.2,50.0,1000,2483,1974,998,51717.273438,0.019297
7,1000,0.2,0.2,50.0,1000,2507,1999,999,49408.527344,0.020219
8,1000,0.2,0.2,50.0,1000,2372,1911,999,51780.468750,0.019293
9,1000,0.2,0.2,50.0,1000,2569,2000,999,50058.011719,0.019957
10,1000,0.2,0.2,50.0,1000,2428,1918,999,50202.390625,0.019899
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2415,1929,999,48101.140625,0.020769
2,1000,0.2,0.2,50.0,1000,2431,1947,997,49375.191406,0.020192
3,1000,0.2,0.2,50.0,1000,2510,1992,999,49246.585938,0.020286
4,1000,0.2,0.2,50.0,1000,2488,1998,999,50266.839844,0.019874
5,1000,0.2,0.2,50.0,1000,2392,1924,999,50082.542969,0.019947
6,1000,0.2,0.2,50.0,1000,2483,1974,998,51717.273438,0.019297
7,1000,0.2,0.2,50.0,1000,2507,1999,999,49408.527344,0.020219
8,1000,0.2,0.2,50.0,1000,2372,1911,999,51780.468750,0.019293
9,1000,0.2,0.2,50.0,1000,2569,2000,999,50058.011719,0.019957
10,1000,0.2,0.2,50.0,1000,2428,1918,999,50202.390625,0.019899
