Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,23104,4676,439,48932.226562,0.008972
2,1000,0.8,0.2,50.0,1000,23795,4804,463,50078.601562,0.009245
3,1000,0.8,0.2,50.0,1000,24160,4737,446,50844.523438,0.008772
4,1000,0.8,0.2,50.0,1000,24450,4963,462,51832.058594,0.008913
5,1000,0.8,0.2,50.0,1000,23670,4751,439,49754.386719,0.008823
6,1000,0.8,0.2,50.0,1000,23997,4859,430,50827.789062,0.008460
7,1000,0.8,0.2,50.0,1000,23374,4675,449,49535.054688,0.009064
8,1000,0.8,0.2,50.0,1000,23415,4751,456,49601.929688,0.009193
9,1000,0.8,0.2,50.0,1000,23512,4750,445,49942.136719,0.008910
10,1000,0.8,0.2,50.0,1000,23887,4705,458,50323.230469,0.009101
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,118440,9003,133,50615.445312,0.002628
2,1000,0.8,0.2,50.0,1000,116634,8843,140,49386.847656,0.002835
3,1000,0.8,0.2,50.0,1000,114971,8749,131,48710.671875,0.002689
4,1000,0.8,0.2,50.0,1000,120397,9156,134,51313.343750,0.002611
5,1000,0.8,0.2,50.0,1000,117751,8943,125,50217.761719,0.002489
6,1000,0.8,0.2,50.0,1000,122104,9265,140,51910.074219,0.002697
7,1000,0.8,0.2,50.0,1000,116640,8862,145,50014.625000,0.002899
8,1000,0.8,0.2,50.0,1000,111834,8554,147,48033.714844,0.003060
9,1000,0.8,0.2,50.0,1000,117088,9156,183,51527.925781,0.003551
10,1000,0.8,0.2,50.0,1000,117416,8952,142,50197.984375,0.002829
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,237189,9310,128,52302.183594,0.002447
2,1000,0.8,0.2,50.0,1000,227279,8884,109,49671.316406,0.002194
3,1000,0.8,0.2,50.0,1000,226390,8797,98,49022.207031,0.001999
4,1000,0.8,0.2,50.0,1000,224328,8892,143,49870.542969,0.002867
5,1000,0.8,0.2,50.0,1000,231349,9078,110,50836.640625,0.002164
6,1000,0.8,0.2,50.0,1000,227568,8867,112,49730.371094,0.002252
7,1000,0.8,0.2,50.0,1000,233908,9089,107,51354.464844,0.002084
8,1000,0.8,0.2,50.0,1000,235078,9314,122,52026.816406,0.002345
9,1000,0.8,0.2,50.0,1000,225155,9195,158,51720.992188,0.003055
10,1000,0.8,0.2,50.0,1000,239763,9386,118,52652.781250,0.002241
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,434599,9149,106,51379.066406,0.002063
2,1000,0.8,0.2,50.0,1000,429602,8923,95,49813.125000,0.001907
3,1000,0.8,0.2,50.0,1000,416524,8657,97,48146.144531,0.002015
4,1000,0.8,0.2,50.0,1000,422002,8916,120,50046.027344,0.002398
5,1000,0.8,0.2,50.0,1000,430545,9027,105,50605.511719,0.002075
6,1000,0.8,0.2,50.0,1000,424159,8865,123,49625.707031,0.002479
7,1000,0.8,0.2,50.0,1000,420686,8724,87,49258.976562,0.001766
8,1000,0.8,0.2,50.0,1000,423988,8967,121,50290.824219,0.002406
9,1000,0.8,0.2,50.0,1000,414190,9101,150,51240.390625,0.002927
10,1000,0.8,0.2,50.0,1000,421318,8790,100,49532.402344,0.002019
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,870178,9188,106,51609.824219,0.002054
2,1000,0.8,0.2,50.0,1000,883496,9091,95,50713.707031,0.001873
3,1000,0.8,0.2,50.0,1000,851667,8736,97,48598.773438,0.001996
4,1000,0.8,0.2,50.0,1000,821288,8759,119,49188.519531,0.002419
5,1000,0.8,0.2,50.0,1000,855134,8935,105,50103.027344,0.002096
6,1000,0.8,0.2,50.0,1000,832905,8743,123,48914.554688,0.002515
7,1000,0.8,0.2,50.0,1000,861857,8777,87,49541.535156,0.001756
8,1000,0.8,0.2,50.0,1000,819943,8717,119,48901.363281,0.002433
9,1000,0.8,0.2,50.0,1000,797735,8923,149,50219.937500,0.002967
10,1000,0.8,0.2,50.0,1000,867674,8985,101,50524.214844,0.001999
