Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1944,1759,999,49837.750000,0.020045
2,1000,0.1,0.2,50.0,1000,1969,1762,998,49389.953125,0.020207
3,1000,0.1,0.2,50.0,1000,2004,1766,998,49309.449219,0.020240
4,1000,0.1,0.2,50.0,1000,1921,1720,999,49818.855469,0.020053
5,1000,0.1,0.2,50.0,1000,1918,1730,997,51001.132812,0.019549
6,1000,0.1,0.2,50.0,1000,1914,1727,999,50251.695312,0.019880
7,1000,0.1,0.2,50.0,1000,1959,1758,999,50268.148438,0.019873
8,1000,0.1,0.2,50.0,1000,1937,1753,999,51394.218750,0.019438
9,1000,0.1,0.2,50.0,1000,2039,1831,999,49123.988281,0.020336
10,1000,0.1,0.2,50.0,1000,1928,1747,999,49726.054688,0.020090
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2494,1998,999,50556.597656,0.019760
2,1000,0.2,0.2,50.0,1000,2496,1977,999,50474.695312,0.019792
3,1000,0.2,0.2,50.0,1000,2499,1974,999,50768.988281,0.019677
4,1000,0.2,0.2,50.0,1000,2465,1949,999,48526.066406,0.020587
5,1000,0.2,0.2,50.0,1000,2405,1940,999,48858.250000,0.020447
6,1000,0.2,0.2,50.0,1000,2510,2005,999,50404.132812,0.019820
7,1000,0.2,0.2,50.0,1000,2623,2060,999,49307.589844,0.020261
8,1000,0.2,0.2,50.0,1000,2406,1931,999,50995.136719,0.019590
9,1000,0.2,0.2,50.0,1000,2582,2045,999,50083.828125,0.019947
10,1000,0.2,0.2,50.0,1000,2475,1985,998,49495.953125,0.020163
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,4370,2618,998,48248.957031,0.020684
2,1000,0.4,0.2,50.0,1000,4546,2706,999,49048.375000,0.020368
3,1000,0.4,0.2,50.0,1000,4392,2608,998,48847.886719,0.020431
4,1000,0.4,0.2,50.0,1000,4260,2601,997,50895.816406,0.019589
5,1000,0.4,0.2,50.0,1000,4429,2661,999,50165.316406,0.019914
6,1000,0.4,0.2,50.0,1000,4290,2596,999,49285.160156,0.020270
7,1000,0.4,0.2,50.0,1000,4524,2693,999,50833.039062,0.019653
8,1000,0.4,0.2,50.0,1000,4267,2581,999,50475.625000,0.019792
9,1000,0.4,0.2,50.0,1000,4465,2663,999,49095.878906,0.020348
10,1000,0.4,0.2,50.0,1000,4466,2722,999,48174.562500,0.020737
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,9619,3854,998,47373.109375,0.021067
2,1000,0.6,0.2,50.0,1000,10002,3859,999,49032.410156,0.020374
3,1000,0.6,0.2,50.0,1000,10546,4251,999,48951.972656,0.020408
4,1000,0.6,0.2,50.0,1000,9622,3888,998,49444.949219,0.020184
5,1000,0.6,0.2,50.0,1000,9878,3956,998,49317.750000,0.020236
6,1000,0.6,0.2,50.0,1000,9481,3833,999,51152.796875,0.019530
7,1000,0.6,0.2,50.0,1000,10269,4082,998,49980.542969,0.019968
8,1000,0.6,0.2,50.0,1000,9780,3922,998,50544.792969,0.019745
9,1000,0.6,0.2,50.0,1000,10267,4036,999,50445.078125,0.019804
10,1000,0.6,0.2,50.0,1000,9972,3979,998,51482.253906,0.019385
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,19916,4026,493,51067.921875,0.009654
2,1000,0.8,0.2,50.0,1000,21951,4415,566,51521.074219,0.010986
3,1000,0.8,0.2,50.0,1000,19852,3942,495,49779.992188,0.009944
4,1000,0.8,0.2,50.0,1000,19747,4022,568,49841.027344,0.011396
5,1000,0.8,0.2,50.0,1000,18879,3750,481,50533.121094,0.009519
6,1000,0.8,0.2,50.0,1000,20502,4100,533,53573.222656,0.009949
7,1000,0.8,0.2,50.0,1000,17482,3386,447,50424.292969,0.008865
8,1000,0.8,0.2,50.0,1000,16626,3385,459,50819.589844,0.009032
9,1000,0.8,0.2,50.0,1000,17341,3469,451,49316.261719,0.009145
10,1000,0.8,0.2,50.0,1000,18951,3771,482,50322.984375,0.009578
