Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
10,1000,0.0,0.0,10.0,1000,24902,1826,2,9986.258789,0.000200
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,10.0,1000,24035,1777,51,9857.485352,0.005174
2,1000,0.0,0.0,10.0,1000,24675,1823,51,10115.756836,0.005042
3,1000,0.0,0.0,10.0,1000,24306,1815,51,9977.692383,0.005111
4,1000,0.0,0.0,10.0,1000,23584,1744,51,9668.429688,0.005275
5,1000,0.0,0.0,10.0,1000,23921,1745,51,9818.617188,0.005194
6,1000,0.0,0.0,10.0,1000,24121,1779,51,9938.324219,0.005132
7,1000,0.0,0.0,10.0,1000,25192,1886,51,10335.227539,0.004935
8,1000,0.0,0.0,10.0,1000,24719,1819,51,10126.320312,0.005036
9,1000,0.0,0.0,10.0,1000,24707,1853,51,10169.033203,0.005015
10,1000,0.0,0.0,10.0,1000,24674,1851,51,10118.706055,0.005040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,10.0,1000,2439,1748,6,9799.298828,0.000612
2,1000,0.0,0.0,10.0,1000,2523,1836,6,10109.735352,0.000593
3,1000,0.0,0.0,10.0,1000,2467,1847,6,9883.688477,0.000607
4,1000,0.0,0.0,10.0,1000,2527,1850,6,10133.827148,0.000592
5,1000,0.0,0.0,10.0,1000,2536,1841,6,10166.106445,0.000590
6,1000,0.0,0.0,10.0,1000,2547,1794,6,10228.017578,0.000587
7,1000,0.0,0.0,10.0,1000,2429,1764,6,9745.532227,0.000616
8,1000,0.0,0.0,10.0,1000,2497,1794,6,9998.491211,0.000600
9,1000,0.0,0.0,10.0,1000,2435,1784,6,9769.378906,0.000614
10,1000,0.0,0.0,10.0,1000,2536,1836,6,10176.784180,0.000590
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,10.0,1000,508,507,1,10167.751953,0.000098
2,1000,0.0,0.0,10.0,1000,501,501,1,10022.810547,0.000100
3,1000,0.0,0.0,10.0,1000,504,504,1,10088.962891,0.000099
4,1000,0.0,0.0,10.0,1000,504,504,1,10093.827148,0.000099
5,1000,0.0,0.0,10.0,1000,495,495,1,9908.258789,0.000101
6,1000,0.0,0.0,10.0,1000,499,498,1,9983.708008,0.000100
7,1000,0.0,0.0,10.0,1000,496,496,1,9929.460938,0.000101
8,1000,0.0,0.0,10.0,1000,499,499,1,9982.218750,0.000100
9,1000,0.0,0.0,10.0,1000,492,491,1,9835.878906,0.000102
10,1000,0.0,0.0,10.0,1000,499,499,1,9987.256836,0.000100
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,10.0,1000,508,507,1,10167.751953,0.000098
2,1000,0.0,0.0,10.0,1000,501,501,1,10022.810547,0.000100
3,1000,0.0,0.0,10.0,1000,504,504,1,10088.962891,0.000099
4,1000,0.0,0.0,10.0,1000,504,504,1,10093.827148,0.000099
5,1000,0.0,0.0,10.0,1000,495,495,1,9908.258789,0.000101
6,1000,0.0,0.0,10.0,1000,499,498,1,9983.708008,0.000100
7,1000,0.0,0.0,10.0,1000,496,496,1,9929.460938,0.000101
8,1000,0.0,0.0,10.0,1000,499,499,1,9982.218750,0.000100
9,1000,0.0,0.0,10.0,1000,492,491,1,9835.878906,0.000102
10,1000,0.0,0.0,10.0,1000,499,499,1,9987.256836,0.000100
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,10.0,1000,4969,1774,11,9983.074219,0.001102
2,1000,0.0,0.0,10.0,1000,4901,1805,11,9847.441406,0.001117
3,1000,0.0,0.0,10.0,1000,4889,1821,11,9829.461914,0.001119
4,1000,0.0,0.0,10.0,1000,5109,1876,11,10258.516602,0.001072
5,1000,0.0,0.0,10.0,1000,4996,1824,11,10039.885742,0.001096
6,1000,0.0,0.0,10.0,1000,4907,1771,11,9898.324219,0.001111
7,1000,0.0,0.0,10.0,1000,5117,1870,11,10277.746094,0.001070
8,1000,0.0,0.0,10.0,1000,4933,1801,11,9900.311523,0.001111
9,1000,0.0,0.0,10.0,1000,4973,1805,11,10010.861328,0.001099
10,1000,0.0,0.0,10.0,1000,4964,1804,11,9967.025391,0.001104
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,10.0,1000,24035,1777,51,9857.485352,0.005174
2,1000,0.0,0.0,10.0,1000,24675,1823,51,10115.756836,0.005042
3,1000,0.0,0.0,10.0,1000,24306,1815,51,9977.692383,0.005111
4,1000,0.0,0.0,10.0,1000,23584,1744,51,9668.429688,0.005275
5,1000,0.0,0.0,10.0,1000,23921,1745,51,9818.617188,0.005194
6,1000,0.0,0.0,10.0,1000,24121,1779,51,9938.324219,0.005132
7,1000,0.0,0.0,10.0,1000,25192,1886,51,10335.227539,0.004935
8,1000,0.0,0.0,10.0,1000,24719,1819,51,10126.320312,0.005036
9,1000,0.0,0.0,10.0,1000,24707,1853,51,10169.033203,0.005015
10,1000,0.0,0.0,10.0,1000,24674,1851,51,10118.706055,0.005040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,10.0,1000,24035,1777,51,9857.485352,0.005174
2,1000,0.0,0.0,10.0,1000,24675,1823,51,10115.756836,0.005042
3,1000,0.0,0.0,10.0,1000,24306,1815,51,9977.692383,0.005111
4,1000,0.0,0.0,10.0,1000,23584,1744,51,9668.429688,0.005275
5,1000,0.0,0.0,10.0,1000,23921,1745,51,9818.617188,0.005194
6,1000,0.0,0.0,10.0,1000,24121,1779,51,9938.324219,0.005132
7,1000,0.0,0.0,10.0,1000,25192,1886,51,10335.227539,0.004935
8,1000,0.0,0.0,10.0,1000,24719,1819,51,10126.320312,0.005036
9,1000,0.0,0.0,10.0,1000,24707,1853,51,10169.033203,0.005015
10,1000,0.0,0.0,10.0,1000,24674,1851,51,10118.706055,0.005040
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.0,0.0,10.0,1000,24035,1777,51,9857.485352,0.005174
2,1000,0.0,0.0,10.0,1000,24675,1823,51,10115.756836,0.005042
