Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,
2,1000,0.8,0.2,50,1000,72759,8311,373,48459.601562,0.007697,,
3,1000,0.8,0.2,50,1000,70063,8320,520,50896.09375,0.010217,,
4,1000,0.8,0.2,50,1000,79109,8790,377,49684.8125,0.007588,,
5,1000,0.8,0.2,50,1000,77685,8424,410,50716.667969,0.008084,,
6,1000,0.8,0.2,50,1000,88769,8761,310,51148.824219,0.006061,,
7,1000,0.8,0.2,50,1000,87356,8706,261,48968.894531,0.00533,,
8,1000,0.8,0.2,50,1000,78099,9040,287,50808.324219,0.005649,,
9,1000,0.8,0.2,50,1000,68158,8177,484,48705.738281,0.009937,,
10,1000,0.8,0.2,50,1000,68424,8980,372,50823.890625,0.007319,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,
1,1000,0.8,0.2,50,1000,148315,9022,313,50853.398438,0.006155,,sr w 100
2,1000,0.8,0.2,50,1000,164865,8597,305,49781.117188,0.006127,,
3,1000,0.8,0.2,50,1000,125723,8805,413,51043.992188,0.008091,,
4,1000,0.8,0.2,50,1000,166380,8789,367,50628.238281,0.007249,,
5,1000,0.8,0.2,50,1000,103184,8546,572,50983.753906,0.011219,,
6,1000,0.8,0.2,50,1000,144718,8745,374,50388.726562,0.007422,,
7,1000,0.8,0.2,50,1000,152135,8778,288,49254.625,0.005847,,
8,1000,0.8,0.2,50,1000,160272,8854,254,49835.984375,0.005097,,
9,1000,0.8,0.2,50,1000,111091,8468,265,48199.304688,0.005498,,
10,1000,0.8,0.2,50,1000,128689,8699,375,49743.886719,0.007539,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,
1,1000,0.8,0.2,50,1000,148315,9022,313,50853.398438,0.006155,,sr w 100
2,1000,0.8,0.2,50,1000,164865,8597,305,49781.117188,0.006127,,
3,1000,0.8,0.2,50,1000,125723,8805,413,51043.992188,0.008091,,
4,1000,0.8,0.2,50,1000,166380,8789,367,50628.238281,0.007249,,
5,1000,0.8,0.2,50,1000,103184,8546,572,50983.753906,0.011219,,
6,1000,0.8,0.2,50,1000,144718,8745,374,50388.726562,0.007422,,
7,1000,0.8,0.2,50,1000,152135,8778,288,49254.625,0.005847,,
8,1000,0.8,0.2,50,1000,160272,8854,254,49835.984375,0.005097,,
9,1000,0.8,0.2,50,1000,111091,8468,265,48199.304688,0.005498,,
10,1000,0.8,0.2,50,1000,128689,8699,375,49743.886719,0.007539,,
