Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,
1,1000,0.5,0,50,1000,4553,2293,997,51747.511719,0.019267,,gbn
2,1000,0.5,0,50,1000,4686,2335,995,50564.226562,0.019678,,
3,1000,0.5,0,50,1000,4618,2273,996,51666.171875,0.019278,,
4,1000,0.5,0,50,1000,4689,2379,997,49228.101562,0.020253,,
5,1000,0.5,0,50,1000,4768,2362,997,49472.113281,0.020153,,
6,1000,0.5,0,50,1000,4558,2339,998,52347.445312,0.019065,,
7,1000,0.5,0,50,1000,4910,2419,997,49739.339844,0.020044,,
8,1000,0.5,0,50,1000,4568,2269,996,49806.757812,0.019997,,
9,1000,0.5,0,50,1000,4740,2374,998,49244.378906,0.020266,,
10,1000,0.5,0,50,1000,4920,2501,997,48778.15625,0.020439,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,
1,1000,0.8,0,50,1000,24579,4938,634,49554.941406,0.012794,,gbn
2,1000,0.8,0,50,1000,25186,5034,618,50433.597656,0.012254,,
3,1000,0.8,0,50,1000,24844,4884,637,49923.890625,0.012759,,
4,1000,0.8,0,50,1000,25889,5152,632,52005.585938,0.012153,,
5,1000,0.8,0,50,1000,24706,4942,667,50112.804688,0.01331,,
6,1000,0.8,0,50,1000,25288,5135,651,51272.457031,0.012697,,
7,1000,0.8,0,50,1000,24885,4911,625,50178.617188,0.012456,,
8,1000,0.8,0,50,1000,25099,5076,649,50441.277344,0.012866,,
9,1000,0.8,0,50,1000,24425,4904,627,49314.601562,0.012714,,
10,1000,0.8,0,50,1000,24771,4966,652,49714.082031,0.013115,,
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.0,50.0,1000,6382,3201,14,51358.015625,0.000273
2,1000,0.5,0.0,50.0,1000,10122,5025,10,50732.882812,0.000197
3,1000,0.5,0.0,50.0,1000,6103,3038,14,49083.820312,0.000285
4,1000,0.5,0.0,50.0,1000,12204,6147,11,49112.730469,0.000224
5,1000,0.5,0.0,50.0,1000,9898,4910,13,49793.433594,0.000261
6,1000,0.5,0.0,50.0,1000,9037,4588,10,51916.257812,0.000193
7,1000,0.5,0.0,50.0,1000,5014,2469,13,50342.328125,0.000258
8,1000,0.5,0.0,50.0,1000,8716,4394,10,50008.015625,0.000200
9,1000,0.5,0.0,50.0,1000,8762,4359,10,50347.277344,0.000199
10,1000,0.5,0.0,50.0,1000,10313,5150,11,51835.625000,0.000212
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.0,50.0,1000,12717,2558,10,51180.421875,0.000195
2,1000,0.8,0.0,50.0,1000,10111,2056,10,50632.882812,0.000198
3,1000,0.8,0.0,50.0,1000,11260,2242,10,50279.574219,0.000199
4,1000,0.8,0.0,50.0,1000,12539,2619,10,50449.136719,0.000198
5,1000,0.8,0.0,50.0,1000,11095,2204,10,49501.292969,0.000202
6,1000,0.8,0.0,50.0,1000,9034,1839,10,51770.089844,0.000193
7,1000,0.8,0.0,50.0,1000,12250,2405,12,49298.042969,0.000243
8,1000,0.8,0.0,50.0,1000,11426,2318,10,50981.285156,0.000196
9,1000,0.8,0.0,50.0,1000,8525,1719,10,48874.308594,0.000205
10,1000,0.8,0.0,50.0,1000,11183,2246,10,49893.531250,0.000200
