Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput,,,
2,100,0.8,0.0,20.0,100,500,101,5,2039.002808,0.002452
3,100,0.8,0.0,20.0,100,6,0,0,2031.286621,0.000000
4,100,0.8,0.0,20.0,100,6,1,0,2148.390869,0.000000
5,100,0.8,0.0,20.0,100,481,98,5,1988.400757,0.002515
6,100,0.8,0.0,20.0,100,6,1,1,2258.255615,0.000443
7,100,0.8,0.0,20.0,100,6,1,1,1906.388794,0.000525
8,100,0.8,0.0,20.0,100,463,101,5,1927.205566,0.002594
9,100,0.8,0.0,20.0,100,6,0,0,2142.735107,0.000000
10,100,0.8,0.0,20.0,100,6,1,0,1940.025269,0.000000
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,100,0.8,0.0,20.0,100,11,4,0,1892.625366,0.000000
2,100,0.8,0.0,20.0,100,890,171,10,1869.153320,0.005350
3,100,0.8,0.0,20.0,100,11,1,0,2105.401855,0.000000
4,100,0.8,0.0,20.0,100,11,1,0,2158.901611,0.000000
5,100,0.8,0.0,20.0,100,898,187,10,1924.086792,0.005197
6,100,0.8,0.0,20.0,100,11,3,1,2325.164307,0.000430
7,100,0.8,0.0,20.0,100,11,2,1,1939.275513,0.000516
8,100,0.8,0.0,20.0,100,847,182,10,1827.205566,0.005473
9,100,0.8,0.0,20.0,100,11,1,0,2128.394531,0.000000
10,100,0.8,0.0,20.0,100,11,1,0,1933.554321,0.000000
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,100,0.8,0.0,20.0,100,11,4,0,1892.625366,0.000000
2,100,0.8,0.0,20.0,100,890,171,10,1869.153320,0.005350
3,100,0.8,0.0,20.0,100,11,1,0,2105.401855,0.000000
4,100,0.8,0.0,20.0,100,11,1,0,2158.901611,0.000000
5,100,0.8,0.0,20.0,100,898,187,10,1924.086792,0.005197
6,100,0.8,0.0,20.0,100,11,3,1,2325.164307,0.000430
7,100,0.8,0.0,20.0,100,11,2,1,1939.275513,0.000516
8,100,0.8,0.0,20.0,100,847,182,10,1827.205566,0.005473
9,100,0.8,0.0,20.0,100,11,1,0,2128.394531,0.000000
10,100,0.8,0.0,20.0,100,11,1,0,1933.554321,0.000000
